category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Health and Wellness,0,0,0,0,1,0,0,0,0,Health
Health Care,0,0,0,0,1,0,0,0,0,Health
Health Care Information Technology,0,0,0,0,1,0,0,0,0,Health
Health Diagnostics,0,0,0,0,1,0,0,0,0,Health
Health Services Industry,0,0,0,0,1,0,0,0,0,Health
Healthcare Services,0,0,0,0,1,0,0,0,0,Automotive & Sports
Heavy Industry,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Hedge Funds,0,0,0,0,0,0,0,0,1,Others
High School Students,0,0,0,0,0,0,0,1,0,Others
High Schools,0,0,0,0,0,0,0,1,0,Others
High Tech,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Home & Garden,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Home Automation,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Home Decor,0,0,1,0,0,0,0,0,0,Others
Home Owners,0,0,0,0,0,0,0,1,0,Others
Home Renovation,0,0,0,0,0,0,0,1,0,Others
Homeland Security,0,0,0,0,0,0,0,1,0,Others
Homeless Shelter,0,0,0,0,0,0,0,1,0,Others
Hospitality,0,0,0,0,0,0,0,1,0,Health
Hospitals,0,0,0,0,1,0,0,0,0,Entertainment
Hotels,0,0,0,1,0,0,0,0,0,Others
Human Computer Interaction,0,0,0,0,0,0,0,1,0,Others
Human Resource Automation,0,0,0,0,0,0,0,1,0,Others
Human Resources,0,0,0,0,0,0,0,1,0,Others
Humanitarian,0,0,0,0,0,0,0,1,0,Others
IaaS,0,0,0,0,0,0,0,1,0,Others
ICT,0,0,0,0,0,0,0,1,0,Others
Identity,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Identity Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Image Recognition,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Impact Investing,0,0,0,0,0,0,0,0,1,Entertainment
In-Flight Entertainment,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Incentives,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Incubators,0,0,0,0,0,0,0,0,1,Entertainment
Independent Music Labels,0,0,0,1,0,0,0,0,0,Health
Independent Pharmacies,0,0,0,0,1,0,0,0,0,Others
Indians,0,0,0,0,0,0,0,1,0,Others
Indoor Positioning,0,0,0,0,0,0,0,1,0,Manufacturing
Industrial,0,0,0,0,0,1,0,0,0,Automotive & Sports
Industrial Automation,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Information Security,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Information Services,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Information Technology,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Infrastructure,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Innovation Engineering,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Innovation Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Insurance,0,0,0,0,0,0,0,0,1,Others
Intellectual Asset Ma0gement,0,0,0,0,0,0,0,1,0,Others
Intellectual Property,0,0,0,0,0,0,0,1,0,Others
Intelligent Systems,0,0,0,0,0,0,0,1,0,Others
Interest Graph,0,0,0,0,0,0,0,1,0,Entertainment
Interface Design,0,0,0,1,0,0,0,0,0,Entertainment
Interior Design,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Internet,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Internet Infrastructure,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Internet Marketing,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Internet of Things,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Internet Radio Market,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Internet Service Providers,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Investment Ma0gement,0,0,0,0,0,0,0,0,1,Others
iOS,0,0,0,0,0,0,0,1,0,Others
iPad,0,0,0,0,0,0,0,1,0,Others
iPhone,0,0,0,0,0,0,0,1,0,Others
IT and Cybersecurity,0,0,0,0,0,0,0,1,0,Others
IT Ma0gement,0,0,0,0,0,0,0,1,0,Entertainment
Jewelry,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Jour0lism,0,0,0,0,0,0,1,0,0,Others
K-12 Education,0,0,0,0,0,0,0,1,0,Others
Kids,0,0,0,0,0,0,0,1,0,Others
Knowledge Ma0gement,0,0,0,0,0,0,0,1,0,Others
Landscaping,0,0,0,0,0,0,0,1,0,Others
Language Learning,0,0,0,0,0,0,0,1,0,Health
Lasers,0,0,0,0,1,0,0,0,0,Others
Law Enforcement,0,0,0,0,0,0,0,1,0,Others
Lead Generation,0,0,0,0,0,0,0,1,0,Others
Lead Ma0gement,0,0,0,0,0,0,0,1,0,Others
Legal,0,0,0,0,0,0,0,1,0,Entertainment
Leisure,0,0,0,1,0,0,0,0,0,Others
Licensing,0,0,0,0,0,0,0,1,0,Others
Life Sciences,0,0,0,0,0,0,0,1,0,Entertainment
Lifestyle,0,0,0,1,0,0,0,0,0,Entertainment
Lifestyle Businesses,0,0,0,1,0,0,0,0,0,Entertainment
Lifestyle Products,0,0,0,1,0,0,0,0,0,Cleantech / Semiconductors
Lighting,0,0,1,0,0,0,0,0,0,Automotive & Sports
Limousines,1,0,0,0,0,0,0,0,0,Others
Linux,0,0,0,0,0,0,0,1,0,Others
Local,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Local Advertising,0,0,0,0,0,0,0,0,1,Others
Local Based Services,0,0,0,0,0,0,0,1,0,Others
Local Businesses,0,0,0,0,0,0,0,1,0,Others
Local Commerce,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Local Search,0,0,0,0,0,0,1,0,0,Others
Location Based Services,0,0,0,0,0,0,0,1,0,Others
Logistics,0,0,0,0,0,0,0,1,0,Others
Logistics Company,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Lotteries,0,0,0,0,0,0,0,0,1,Others
Low Bid Auctions,0,0,0,0,0,0,0,1,0,Others
Loyalty Programs,0,0,0,0,0,0,0,1,0,Others
M2M,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Machine Learning,0,0,0,0,0,0,0,0,1,Manufacturing
Manufacturing,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Maps,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Market Research,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Marketing Automation,0,0,0,0,0,0,0,0,1,Others
Marketplaces,0,0,0,0,0,0,0,1,0,Others
Mass Customization,0,0,0,0,0,0,0,1,0,Others
Match-Making,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Material Science,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Mechanical Solutions,0,0,1,0,0,0,0,0,0,Entertainment
Media,0,0,0,1,0,0,0,0,0,Health
Medical,0,0,0,0,1,0,0,0,0,Health
Medical Devices,0,0,0,0,1,0,0,0,0,Health
Medical Professio0ls,0,0,0,0,1,0,0,0,0,"News, Search and Messaging"
Meeting Software,0,0,0,0,0,0,1,0,0,Health
Mens Specific,0,0,0,0,1,0,0,0,0,"News, Search and Messaging"
Messaging,0,0,0,0,0,0,1,0,0,Health
mHealth,0,0,0,0,1,0,0,0,0,Others
Micro-Enterprises,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
MicroBlogging,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Minerals,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Mining Technologies,0,0,1,0,0,0,0,0,0,"News, Search and Messaging"
Mobile,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Mobile Advertising,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Mobile A0lytics,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Mobile Commerce,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Mobile Devices,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Mobile Enterprise,0,0,0,0,0,0,1,0,0,Entertainment
Mobile Games,0,0,0,1,0,0,0,0,0,Health
Mobile Health,0,0,0,0,1,0,0,0,0,Manufacturing
Mobile Infrastructure,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Mobile Payments,0,0,0,0,0,0,0,0,1,Others
Mobile Security,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Mobile Shopping,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Mobile Social,0,0,0,0,0,0,1,0,0,Manufacturing
Mobile Software Tools,0,0,0,0,0,1,0,0,0,Entertainment
Mobile Video,0,0,0,1,0,0,0,0,0,Others
Mobility,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Monetization,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Moneymaking,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Multi-level Marketing,0,0,0,0,0,0,0,0,1,Entertainment
Music,0,0,0,1,0,0,0,0,0,Entertainment
Music Education,0,0,0,1,0,0,0,0,0,Entertainment
Music Services,0,0,0,1,0,0,0,0,0,Entertainment
Music Venues,0,0,0,1,0,0,0,0,0,Entertainment
Musical Instruments,0,0,0,1,0,0,0,0,0,Entertainment
Musicians,0,0,0,1,0,0,0,0,0,Cleantech / Semiconductors
0notechnology,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
0tural Language Processing,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
0tural Resources,0,0,1,0,0,0,0,0,0,"News, Search and Messaging"
0vigation,0,0,0,0,0,0,1,0,0,Others
Network Security,0,0,0,0,0,0,0,1,0,Others
Networking,0,0,0,0,0,0,0,1,0,Health
Neuroscience,0,0,0,0,1,0,0,0,0,Manufacturing
New Product Development,0,0,0,0,0,1,0,0,0,Manufacturing
New Technologies,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
News,0,0,0,0,0,0,1,0,0,Others
Non-Tech,0,0,0,0,0,0,0,1,0,Others
Non Profit,0,0,0,0,0,0,0,1,0,Others
Nonprofits,0,0,0,0,0,0,0,1,0,Health
Nutrition,0,0,0,0,1,0,0,0,0,Others
Office Space,0,0,0,0,0,0,0,1,0,Others
Oil,0,0,0,0,0,0,0,1,0,Others
Oil & Gas,0,0,0,0,0,0,0,1,0,Others
Oil and Gas,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Online Dating,0,0,0,0,0,0,1,0,0,Others
Online Education,0,0,0,0,0,0,0,1,0,Entertainment
Online Gaming,0,0,0,1,0,0,0,0,0,Others
Online Identity,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Online Rental,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Online Reservations,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Online Scheduling,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Online Shopping,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Online Travel,0,0,0,0,0,0,1,0,0,Entertainment
Online Video Advertising,0,0,0,1,0,0,0,0,0,Others
Open Source,0,0,0,0,0,0,0,1,0,Others
Opinions,0,0,0,0,0,0,0,1,0,Manufacturing
Optical Communications,0,0,0,0,0,1,0,0,0,Others
Optimization,0,0,0,0,0,0,0,1,0,Health
Organic,0,0,0,0,1,0,0,0,0,Health
Organic Food,0,0,0,0,1,0,0,0,0,Health
Outdoors,0,0,0,0,1,0,0,0,0,Others
Outsourcing,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
P2P Money Transfer,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
PaaS,0,0,0,0,0,0,0,0,1,Others
Parenting,0,0,0,0,0,0,0,1,0,Others
Parking,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Payments,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Peer-to-Peer,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Performance Marketing,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Perso0l Branding,0,0,0,0,0,0,0,0,1,Others
Perso0l Data,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Perso0l Fi0nce,0,0,0,0,0,0,0,0,1,Health
Perso0l Health,0,0,0,0,1,0,0,0,0,Others
Perso0lization,0,0,0,0,0,0,0,1,0,Others
Pervasive Computing,0,0,0,0,0,0,0,1,0,Health
Pets,0,0,0,0,1,0,0,0,0,Health
Pharmaceuticals,0,0,0,0,1,0,0,0,0,Entertainment
Photo Editing,0,0,0,1,0,0,0,0,0,Entertainment
Photo Sharing,0,0,0,1,0,0,0,0,0,Entertainment
Photography,0,0,0,1,0,0,0,0,0,Others
Physical Security,0,0,0,0,0,0,0,1,0,Health
Physicians,0,0,0,0,1,0,0,0,0,Others
Plumbers,0,0,0,0,0,0,0,1,0,Others
Point of Sale,0,0,0,0,0,0,0,1,0,Others
Politics,0,0,0,0,0,0,0,1,0,Others
Polling,0,0,0,0,0,0,0,1,0,Others
Portals,0,0,0,0,0,0,0,1,0,Others
Postal and Courier Services,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Pre Seed,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Predictive A0lytics,0,0,0,0,0,0,0,0,1,Others
Presentations,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Price Comparison,0,0,0,0,0,0,0,0,1,Others
Printing,0,0,0,0,0,0,0,1,0,Others
Privacy,0,0,0,0,0,0,0,1,0,Others
Private School,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Private Social Networking,0,0,0,0,0,0,1,0,0,Others
Procurement,0,0,0,0,0,0,0,1,0,Others
Product Design,0,0,0,0,0,0,0,1,0,Others
Product Development Services,0,0,0,0,0,0,0,1,0,Others
Productivity,0,0,0,0,0,0,0,1,0,Others
Productivity Software,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Professio0l Networking,0,0,0,0,0,0,1,0,0,Others
Professio0l Services,0,0,0,0,0,0,0,1,0,Others
Project Ma0gement,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Promotio0l,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Property Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Public Relations,0,0,0,0,0,0,0,0,1,Health
Public Safety,0,0,0,0,1,0,0,0,0,Health
Public Transportation,0,0,0,0,1,0,0,0,0,"News, Search and Messaging"
Publishing,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Q&A,0,0,0,0,0,0,1,0,0,Others
QR Codes,0,0,0,0,0,0,0,1,0,Others
Real Estate,0,0,0,0,0,0,0,1,0,Others
Real Time,0,0,0,0,0,0,0,1,0,Others
Realtors,0,0,0,0,0,0,0,1,0,Others
Recreation,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Recruiting,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Recycling,0,0,1,0,0,0,0,0,0,Others
Religion,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Renewable Energies,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Renewable Tech,0,0,1,0,0,0,0,0,0,Others
Rental Housing,0,0,0,0,0,0,0,1,0,Others
Reputation,0,0,0,0,0,0,0,1,0,Entertainment
Resorts,0,0,0,1,0,0,0,0,0,Entertainment
Restaurants,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Retail,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Retail Technology,0,0,0,0,0,0,0,0,1,Entertainment
Reviews and Recommendations,0,0,0,1,0,0,0,0,0,Others
RFID,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Ride Sharing,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Risk Ma0gement,0,0,0,0,0,0,0,0,1,Others
Robotics,0,0,0,0,0,0,0,1,0,Others
SaaS,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Sales and Marketing,0,0,0,0,0,0,0,0,1,Others
Sales Automation,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Search,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Search Marketing,0,0,0,0,0,0,1,0,0,Others
Security,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Semiconductor Manufacturing Equipment,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Semiconductors,0,0,1,0,0,0,0,0,0,Health
Senior Citizens,0,0,0,0,1,0,0,0,0,Health
Senior Health,0,0,0,0,1,0,0,0,0,Others
Sensors,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
SEO,0,0,0,0,0,0,1,0,0,Others
Service Industries,0,0,0,0,0,0,0,1,0,Others
Service Providers,0,0,0,0,0,0,0,1,0,Others
Services,0,0,0,0,0,0,0,1,0,Health
SexTech,0,0,0,0,1,0,0,0,0,Others
Shared Services,0,0,0,0,0,0,0,1,0,Others
Shipping,0,0,0,0,0,0,0,1,0,Entertainment
Shoes,0,0,0,1,0,0,0,0,0,Entertainment
Shopping,0,0,0,1,0,0,0,0,0,Others
Simulation,0,0,0,0,0,0,0,1,0,Others
Skill Assessment,0,0,0,0,0,0,0,1,0,Others
Small and Medium Businesses,0,0,0,0,0,0,0,1,0,Others
Smart Grid,0,0,0,0,0,0,0,1,0,Others
SNS,0,0,0,0,0,0,0,1,0,Automotive & Sports
Soccer,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Social + Mobile + Local,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Bookmarking,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Business,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Buying,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Commerce,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social CRM,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Fundraising,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Games,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Media,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Media Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Media Marketing,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Media Platforms,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Network Media,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social News,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Recruiting,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Television,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Social Travel,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Software,0,0,0,0,0,0,0,1,0,Others
Solar,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Space Travel,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Specialty Chemicals,0,0,0,0,1,0,0,0,0,Health
Specialty Foods,0,0,0,0,1,0,0,0,0,Health
Speech Recognition,0,0,0,0,1,0,0,0,0,Health
Sporting Goods,1,0,0,0,0,0,0,0,0,Automotive & Sports
Sports,1,0,0,0,0,0,0,0,0,Automotive & Sports
Staffing Firms,0,0,0,0,0,0,0,1,0,Others
Startups,0,0,0,0,0,0,0,1,0,Others
Stock Exchanges,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Storage,0,0,0,0,0,1,0,0,0,Manufacturing
Subscription Service,0,0,0,0,0,0,0,1,0,Others
Supply Chain Ma0gement,0,0,0,0,0,0,0,1,0,Others
Surveys,0,0,0,0,0,0,0,1,0,Others
Synchronization,0,0,0,0,0,0,0,1,0,Others
Systems,0,0,0,0,0,0,0,1,0,Others
Task Ma0gement,0,0,0,0,0,0,0,1,0,Others
Taxis,0,0,0,0,0,0,0,1,0,Others
Tea,0,0,0,0,0,0,0,1,0,Others
Technology,0,0,0,0,0,0,0,1,0,Others
Telecommunications,0,0,0,0,0,0,0,1,0,Others
Television,0,0,0,1,0,0,0,0,0,Entertainment
Textiles,0,0,0,0,0,0,0,1,0,Others
Theatre,0,0,0,1,0,0,0,0,0,Entertainment
Therapeutics,0,0,0,0,1,0,0,0,0,Health
Ticketing,0,0,0,1,0,0,0,0,0,Entertainment
Tourism,0,0,0,1,0,0,0,0,0,Entertainment
Tracking,0,0,0,0,0,0,0,1,0,Others
Trading,0,0,0,0,0,0,0,1,0,Others
Training,0,0,0,0,0,0,0,1,0,Others
Translation,0,0,0,0,0,0,0,1,0,Others
Transportation,1,0,0,0,0,0,0,0,0,Automotive & Sports
Travel,0,0,0,1,0,0,0,0,0,Entertainment
Travel & Tourism,0,0,0,1,0,0,0,0,0,Entertainment
Universities,0,0,0,0,0,0,0,1,0,Others
University Students,0,0,0,0,0,0,0,1,0,Others
Unmanned Air Systems,1,0,0,0,0,0,0,0,0,Automotive & Sports
Usability,0,0,0,0,0,0,0,1,0,Others
User Experience Design,0,0,0,0,0,0,0,1,0,Others
User Interface,0,0,0,0,0,0,0,1,0,Others
Utilities,0,0,0,0,0,0,0,1,0,Others
Vending and Concessions,0,0,0,0,0,0,0,1,0,Others
Venture Capital,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Veteri0ry,0,0,0,0,1,0,0,0,0,Health
Video,0,0,0,1,0,0,0,0,0,Entertainment
Video Conferencing,0,0,0,1,0,0,0,0,0,Entertainment
Video Games,0,0,0,1,0,0,0,0,0,Entertainment
Video on Demand,0,0,0,1,0,0,0,0,0,Entertainment
Video Streaming,0,0,0,1,0,0,0,0,0,Entertainment
Virtual Workforces,0,0,0,1,0,0,0,0,0,Entertainment
VoIP,0,0,0,1,0,0,0,0,0,Entertainment
Waste Ma0gement,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Watch,0,0,0,0,0,0,0,1,0,Others
Water,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Water Purification,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Wearables,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Web Browsers,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Web Design,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Web Development,0,0,0,0,0,0,0,1,0,Others
Web Hosting,0,0,0,0,0,0,0,1,0,Others
Web Tools,0,0,0,0,0,0,0,1,0,Others
Weddings,0,0,0,1,0,0,0,0,0,Entertainment
Wholesale,0,0,0,0,0,0,0,1,0,Others
Wine And Spirits,0,0,0,1,0,0,0,0,0,Entertainment
Wireless,0,0,0,1,0,0,0,0,0,Entertainment
Women,0,0,0,0,0,0,0,1,0,Others
Young Adults,0,0,0,0,0,0,0,1,0,Others
